ACCESSION	UNIPROT_NAME	GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
A0A140FW83	A0A140FW83_PSEPK	PP_5529		Epimerase	
A0A140FWI4	A0A140FWI4_PSEPK	PP_5631		Uncharacterized protein	
A0A140FWN3	A0A140FWN3_PSEPK	PP_5681		Uncharacterized protein	
A0A140FWS3	A0A140FWS3_PSEPK	PP_4976	ahcY		Adenosylhomocysteinase
P59308	ARGC2_PSEPK	PP_3633	argC2		N-acetyl-gamma-glutamyl-phosphate reductase 2
Q88BZ0	Q88BZ0_PSEPK	PP_5393		Metal-binding chaperone	
Q88BZ9	Q88BZ9_PSEPK	PP_5384	copS		Sensor protein
Q88C68	Q88C68_PSEPK	PP_5315	rubA		Rubredoxin
Q88CB5	Q88CB5_PSEPK	PP_5266		Acetyl-CoA hydrolase family protein	
Q88CN9	TYSY_PSEPK	PP_5141	thyA		Thymidylate synthase
Q88CS7	TRMB_PSEPK	PP_5103	trmB		tRNA (guanine-N(7)-)-methyltransferase
Q88DI3	Q88DI3_PSEPK	PP_4842	urtB	Urea ABC transporter	
Q88DN7	Q88DN7_PSEPK	PP_4787	ybeZ		PhoH-like protein domain-containing protein
Q88DY5	Q88DY5_PSEPK	PP_4683	mrcB		Penicillin-binding protein 1B
Q88E06	Q88E06_PSEPK	PP_4662			ABM domain-containing protein
Q88E24	Q88E24_PSEPK	PP_4644	radA		DNA repair protein RadA
Q88E26	Q88E26_PSEPK	PP_4642			Cyclic diguanosine monophosphate-binding protein
Q88EJ7	Q88EJ7_PSEPK	PP_4465		Porin	
Q88F32	RECR_PSEPK	PP_4267	recR		Recombination protein RecR
Q88F77	Q88F77_PSEPK	PP_4221	pvdI	Non-ribosomal peptide synthetase (Subunit of ferribactin synthase)	
Q88FA8	Q88FA8_PSEPK	PP_4190	sdhB		succinate dehydrogenase
Q88FG1	Q88FG1_PSEPK	PP_4135			Phage head protein
Q88FI3	Q88FI3_PSEPK	PP_4113			Peptidase S8/S53 domain-containing protein
Q88FM3	Q88FM3_PSEPK	PP_4066	liuC	Methylglutaconyl-CoA hydratase	
Q88FU4	Q88FU4_PSEPK	PP_3988			ATP-binding protein
Q88G23	Q88G23_PSEPK	PP_3903		Uncharacterized protein	
Q88GK1	Q88GK1_PSEPK	PP_3720		NAD(P)H quinone oxidoreductase	
Q88GK6	Q88GK6_PSEPK	PP_3715	catB	Muconate cycloisomerase 1	
Q88GU4	Q88GU4_PSEPK	PP_3623	adhB	Alcohol dehydrogenase cytochrome c subunit	
Q88GV8	Q88GV8_PSEPK	PP_3609			DMT family transporter
Q88GZ5	Q88GZ5_PSEPK	PP_3570	oprB-III	Carbohydrate-selective porin	
