0	1	2	3
GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
PP_5529		Epimerase	
PP_5631		Uncharacterized protein	
PP_5681		Uncharacterized protein	
PP_5529		Epimerase	
PP_5631		Uncharacterized protein	
PP_5681		Uncharacterized protein	
PP_4976	ahcY		Adenosylhomocysteinase
PP_3633	argC2		N-acetyl-gamma-glutamyl-phosphate reductase 2
PP_5393		Metal-binding chaperone	
PP_5384	copS		Sensor protein
PP_5315	rubA		Rubredoxin
PP_5266		Acetyl-CoA hydrolase family protein	
PP_5141	thyA		Thymidylate synthase
PP_5103	trmB		tRNA (guanine-N(7)-)-methyltransferase
PP_4842	urtB	Urea ABC transporter	
PP_4787	ybeZ		PhoH-like protein domain-containing protein
PP_4683	mrcB		Penicillin-binding protein 1B
PP_4662			ABM domain-containing protein
PP_4644	radA		DNA repair protein RadA
PP_4642			Cyclic diguanosine monophosphate-binding protein
PP_4465		Porin	
PP_4267	recR		Recombination protein RecR
PP_4221	pvdI	Non-ribosomal peptide synthetase (Subunit of ferribactin synthase)	
PP_4190	sdhB		succinate dehydrogenase
PP_4135			Phage head protein
PP_4113			Peptidase S8/S53 domain-containing protein
PP_4066	liuC	Methylglutaconyl-CoA hydratase	
PP_3988			ATP-binding protein
PP_3903		Uncharacterized protein	
PP_3720		NAD(P)H quinone oxidoreductase	
PP_3715	catB	Muconate cycloisomerase 1	
PP_3623	adhB	Alcohol dehydrogenase cytochrome c subunit	
PP_3609			DMT family transporter
PP_3570	oprB-III	Carbohydrate-selective porin	
PP_3464			Alginate export domain-containing protein
PP_3443		Glyceraldehyde-3-phosphate dehydrogenase	
PP_3431		ThiJ/PfpI family protein	
PP_3384		Gluconate 2-dehydrogenase gamma subunit	
PP_3373	bamA		Outer membrane protein assembly factor BamA
PP_3353		Sulfatase-modifying factor (C-alpha-formyglycine-generating enzyme)	
PP_3290		Universal stress protein family	
PP_3263	ybhN	Phospholipid modification enzyme	
PP_3228		Periplasmic aliphatic sulfonate-binding protein	
PP_3218		Monooxygenase, NtaA/SnaA/SoxA family	
PP_3185	pet		Aminopyrimidine aminohydrolase
PP_3156		Universal stress protein family	
PP_3126		Polysaccharide exported protein	
PP_3007			DUF3455 domain-containing protein
PP_2998			2-dehydropantoate 2-reductase
PP_2950			Nuclear transport factor 2 family protein
PP_2818	mexD		Efflux pump membrane transporter
PP_2742			(S)-ureidoglycine aminohydrolase cupin domain-containing protein
PP_2682	yiaY	Fe-containing alcohol dehydrogenase	
PP_2579	yijP	Phosphoethanolamine transferase CptA	
PP_2543	gabP-II	Gamma-aminobutyrate permease	
PP_2466	infC		Translation initiation factor IF-3
PP_2442			UPF0502 protein PP_2442
PP_2425		Transcriptional regulator, AraC family	
PP_2256		Transcriptional regulator, Cro/CI family	
PP_2177		Transcriptional regulator	
PP_2100			histidine kinase
PP_2058		Porin	
PP_2002		Enzyme	
PP_1926		Phosphotyrosine-protein phosphatase	
PP_1864			DUF1127 domain-containing protein
PP_1735	htrB		Lipid A biosynthesis acyltransferase
PP_1697		Transcriptional regulator, GntR family	
PP_1626	mutS		DNA mismatch repair protein MutS
PP_1551		Phage replication protein O	
PP_1519		Lipoprotein	
PP_1469	dsbC		Thiol:disulfide interchange protein
PP_1459		CBS domain protein	
PP_1382	pcaP	Porin-encoding protein	
PP_1375	pcaR	Transcription regulatory protein (Pca regulon)	
PP_1308	mdeA		L-methionine gamma-lyase
PP_1280	algI		Probable alginate O-acetylase AlgI
PP_1210	dps	DNA-binding stress protein	
PP_1201			Bacterial virulence domain-containing protein
PP_1197	rimO		Ribosomal protein uS12 methylthiotransferase RimO
PP_1053	xcpY	Type II secretion pathway protein XcpY	
PP_1018	gtsD	Mannose/glucose ABC transporter-ATP binding subunit	
PP_1005	hemO	Heme oxygenase	
PP_0988	gcvP1		Glycine dehydrogenase (decarboxylating) 1
PP_0979	holC	DNA polymerase III subunit chi	
PP_0949			Nucleotide-binding protein PP_0949
PP_0942	pmbA	Regulatory protease	
PP_0881	dppB	Dipeptide ABC transporter-putative membrane subunit	
PP_0756			Phospholipid/glycerol acyltransferase domain-containing protein
PP_0709		Transporter, NCS1 nucleoside transporter family	
PP_0530	ribB		3,4-dihydroxy-2-butanone 4-phosphate synthase
PP_0498			Serine aminopeptidase S33 domain-containing protein
PP_0471	rpsE		Small ribosomal subunit protein uS5
PP_0460	rpsC		Small ribosomal subunit protein uS3
PP_0448	rpoC		DNA-directed RNA polymerase subunit beta'
PP_0418	estP		Esterase EstP
PP_0307			Lysozyme inhibitor LprI N-terminal domain-containing protein
PP_0291			DUF2164 domain-containing protein
PP_0148			CENP-V/GFA domain-containing protein
PP_0146	ygdQ	Transport protein	
PP_0071			DUF3077 domain-containing protein
PP_0057		Major facilitator family transporter	
PP_0021		Uncharacterized protein	
PP_0014		Transposase	
PP_5437		Uncharacterized protein	
PP_5499			DUF202 domain-containing protein
PP_5528		Uncharacterized protein	
PP_5550			DUF4325 domain-containing protein
PP_5580		Uncharacterized protein	
PP_4320	cycH	Cytochrome c-type biogenesis protein	
PP_5694		Uncharacterized protein	
PP_5737		Uncharacterized protein	
PP_4438		Transposase	
PP_5353			Tim44-like domain-containing protein
PP_5272			YkgJ family cysteine cluster protein
PP_5261		Transcriptional regulator, LysR family	
PP_5210		Alcohol dehydrogenase, zinc-containing	
PP_5130	pchP	Phosphoethanolamine/phosphocholine phosphatase	
PP_5037			Outer membrane lipoprotein Blc
PP_5025	opgH		Glucans biosynthesis glucosyltransferase H
PP_4923		Outer membrane efflux protein	
PP_4886			Hcp1 family type VI secretion system effector
PP_4663			Probable membrane transporter protein
PP_4492	yhhS		Uncharacterized MFS-type transporter PP_4492
PP_4478	astD		N-succinylglutamate 5-semialdehyde dehydrogenase
PP_4339	cheZ		Protein phosphatase CheZ
PP_4121	nuoC		NADH-quinone oxidoreductase subunit C/D
PP_4115			NolW-like domain-containing protein
PP_4079			Type VI secretion system lipoprotein TssJ
PP_4065	mccB	Methylcrotonyl-CoA carboxylase biotin-containing subunit beta	
PP_3974		Transcriptional regulator, LysR family	
PP_3899			Type II toxin-antitoxin system HicB family antitoxin
PP_3896		Transcriptional regulator, Cro/CI family	
PP_3873			HK97 gp10 family phage protein
PP_3823		Cytochrome c-type protein	
PP_3738		Transcriptional regulator VanR	
PP_3728			histidine kinase
