GENE_ID	COG_ID	COG_CATEGORY	COG_NAME	PATHWAY	FUNC_CATEGORY_NUMBER	FUNC_CATEGORY	COG_GROUP	COG_CATEGORY_DESCRIPTION	ASSOC_COLOR
PP_RS24970	COG0001	H	Glutamate-1-semialdehyde aminotransferase	Heme biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS02270	COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS18870	COG0002	E	N-acetyl-gamma-glutamylphosphate reductase	Arginine biosynthesis	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS10935	COG0004	P	Ammonia channel protein AmtB	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS27265	COG0004	P	Ammonia channel protein AmtB	NA	3	METABOLISM	3	Inorganic ion transport and metabolism	CCCCFC
PP_RS11595	COG0006	E	Xaa-Pro aminopeptidase	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS13760	COG0006	E	Xaa-Pro aminopeptidase	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS19040	COG0006	E	Xaa-Pro aminopeptidase	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS23005	COG0006	E	Xaa-Pro aminopeptidase	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS24800	COG0006	E	Xaa-Pro aminopeptidase	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS27090	COG0006	E	Xaa-Pro aminopeptidase	NA	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS10850	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	Cobalamine/B12 biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS20800	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)	Cobalamine/B12 biosynthesis	3	METABOLISM	3	Coenzyme transport and metabolism	DCDCFC
PP_RS10235	COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	Heme biosynthesis	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS15065	COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	Heme biosynthesis	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS24470	COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase	Heme biosynthesis	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS00360	COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS23425	COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	tRNA modification	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS11390	COG0010	E	Arginase/agmatinase family enzyme	Urea cycle	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS23545	COG0010	E	Arginase/agmatinase family enzyme	Urea cycle	3	METABOLISM	3	Amino acid transport and metabolism	DCFCFC
PP_RS03840	COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family	NA	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
PP_RS23300	COG0013	J	Alanyl-tRNA synthetase	Aminoacyl-tRNA synthetases	1	INFORMATION STORAGE AND PROCESSING	1	Translation, ribosomal structure and biogenesis	FCCCFC
