# feature_gene,class_gene,start,end,strand,symbol,locus_tag,feature_interval_length,attributes_gene,# feature_product,class_product,product_accession_product,name_product,product_length_product,attributes_product
gene,protein_coding,147,1019,-,parB,PP_0001,873,,CDS,with_protein,AAN65635.1,probable chromosome-partitioning protein,290.0,
gene,protein_coding,1029,1820,-,parA,PP_0002,792,,CDS,with_protein,AAN65636.1,probable chromosome partition protein,263.0,
gene,protein_coding,1839,2489,-,rsmG,PP_0003,651,,CDS,with_protein,AAN65637.1,16S RNA methyltransferase,216.0,
gene,protein_coding,2486,4381,-,trmF,PP_0004,1896,,CDS,with_protein,AAN65638.1,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,631.0,
gene,protein_coding,5012,6382,-,trmE,PP_0005,1371,,CDS,with_protein,AAN65639.1,GTPase,456.0,
gene,protein_coding,6471,8153,-,oxaA,PP_0006,1683,,CDS,with_protein,AAN65640.1,probable membrane protein insertase,560.0,
gene,protein_coding,8156,8401,-,yidD,PP_0007,246,,CDS,with_protein,AAN65641.1,conserved hypothetical protein,81.0,
gene,protein_coding,8394,8798,-,rnpA,PP_0008,405,,CDS,with_protein,AAN65642.1,ribonuclease P protein component,134.0,
gene,protein_coding,8812,8946,-,rpmH,PP_0009,135,,CDS,with_protein,AAN65643.1,50S ribosomal protein L34,44.0,
gene,protein_coding,9542,11062,+,dnaA,PP_0010,1521,,CDS,with_protein,AAN65644.1,chromosomal replication initiator protein,506.0,
gene,protein_coding,11103,12206,+,dnaN,PP_0011,1104,,CDS,with_protein,AAN65645.1,DNA polymerase III subunit beta,367.0,
gene,protein_coding,12222,13325,+,recF,PP_0012,1104,,CDS,with_protein,AAN65646.1,DNA replication and repair protein,367.0,
gene,protein_coding,13330,15750,+,gyrB,PP_0013,2421,,CDS,with_protein,AAN65647.1,DNA gyrase subunit B,806.0,
gene,protein_coding,16589,17227,+,,PP_5421,639,,CDS,with_protein,AMM02748.1,conserved protein of unknown function,212.0,
gene,protein_coding,17208,19166,+,,PP_0014,1959,,CDS,with_protein,AAN65648.2,putative transposase,652.0,
gene,protein_coding,19163,20122,+,,PP_0015,960,,CDS,with_protein,AAN65649.1,putative transposon protein,319.0,
gene,protein_coding,20198,22114,+,,PP_0016,1917,,CDS,with_protein,AAN65650.1,conserved hypothetical protein,638.0,
gene,protein_coding,22171,22530,+,,PP_0017,360,,CDS,with_protein,AAN65651.1,putative transcriptional regulator,119.0,
gene,protein_coding,23176,24018,+,,PP_0018,843,,CDS,with_protein,AAN65652.1,conserved hypothetical protein,280.0,
gene,protein_coding,24000,24698,+,,PP_0019,699,,CDS,with_protein,AAN65653.1,hypothetical protein,232.0,
gene,protein_coding,24695,25570,+,,PP_0020,876,,CDS,with_protein,AAN65654.1,hypothetical protein,291.0,
gene,protein_coding,25881,26804,+,,PP_0021,924,,CDS,with_protein,AAN65655.1,conserved hypothetical protein,307.0,
gene,protein_coding,26989,27153,-,,PP_0022,165,,CDS,with_protein,AAN65656.2,hypothetical protein,54.0,
gene,protein_coding,27599,27727,-,,PP_0023,129,,CDS,with_protein,AAN65657.1,conserved hypothetical protein,42.0,
gene,protein_coding,27850,29547,-,,PP_0024,1698,,CDS,with_protein,AAN65658.1,putative membrane-associated metal-dependent hydrolase,565.0,
gene,protein_coding,29990,30142,-,,PP_0025,153,,CDS,with_protein,AAN65659.1,hypothetical protein,50.0,
gene,protein_coding,30431,31336,+,,PP_0026,906,,CDS,with_protein,AAN65660.1,putative cobalt/cadmium/zinc exporter,301.0,
gene,protein_coding,31404,31844,+,,PP_0027,441,,CDS,with_protein,AAN65661.1,conserved membrane protein of unknown function,146.0,
gene,protein_coding,31877,32203,-,,PP_0028,327,,CDS,with_protein,AAN65662.1,conserved hypothetical protein,108.0,
gene,protein_coding,32402,32575,+,,PP_5422,174,,CDS,with_protein,AMM02749.1,hypothetical protein,57.0,
gene,protein_coding,32893,33567,+,czcR-I,PP_0029,675,,CDS,with_protein,AAN65663.1,two component heavy metal response regulator,224.0,
gene,protein_coding,33564,34982,+,czrSA,PP_0030,1419,,CDS,with_protein,AAN65664.1,metal-sensor histidine kinase,472.0,
gene,protein_coding,35040,35627,-,,PP_0031,588,,CDS,with_protein,AAN65665.1,hypothetical protein,195.0,
gene,protein_coding,35894,36115,+,,PP_0032,222,,CDS,with_protein,AAN65666.1,conserved hypothetical protein,73.0,
gene,protein_coding,36198,37652,-,,PP_0033,1455,,CDS,with_protein,AAN65667.1,putative undecaprenyl-glycosyl transferase,484.0,
gene,protein_coding,37646,38629,-,,PP_0034,984,,CDS,with_protein,AAN65668.1,putative bactoprenol glycosyl-transferase from phage origin,327.0,
gene,protein_coding,38595,39014,-,,PP_0035,420,,CDS,with_protein,AAN65669.1,putative bactoprenol-linked glycose transferase,139.0,
gene,protein_coding,39272,40240,+,,PP_0036,969,,CDS,with_protein,AAN65670.1,putative transcriptional regulator,322.0,
gene,protein_coding,40469,41758,+,oprP,PP_0037,1290,,CDS,with_protein,AAN65671.1,porin P,429.0,
gene,protein_coding,42057,43082,+,,PP_0039,1026,,CDS,with_protein,AAN65673.1,hypothetical protein,341.0,
gene,protein_coding,43210,43434,+,,PP_0040,225,,CDS,with_protein,AAN65674.1,hypothetical protein,74.0,
gene,protein_coding,43527,45524,-,cadA-I,PP_0041,1998,,CDS,with_protein,AAN65675.1,cadmium translocating P-type ATPase,665.0,
gene,protein_coding,45727,46050,-,,PP_0042,324,,CDS,with_protein,AAN65676.2,conserved exported protein of unknown function,107.0,
gene,protein_coding,46213,49374,-,czcA-I,PP_0043,3162,,CDS,with_protein,AAN65677.1,cation efflux system protein,1053.0,
gene,protein_coding,49399,50649,-,czcB-I,PP_0044,1251,,CDS,with_protein,AAN65678.1,cobalt-zinc-cadmium resistance protein,416.0,
gene,protein_coding,50718,51989,-,czcC-I,PP_0045,1272,,CDS,with_protein,AAN65679.1,cobalt-zinc-cadmium resistance protein,423.0,
gene,protein_coding,52394,53737,+,opdT-I,PP_0046,1344,,CDS,with_protein,AAN65680.1,tyrosine-specific outer membrane porin D,447.0,
gene,protein_coding,54227,54901,+,czcR-II,PP_0047,675,,CDS,with_protein,AAN65681.1,response regulator,224.0,
gene,protein_coding,55019,55342,+,,PP_0048,324,,CDS,with_protein,AAN65682.1,conserved protein of unknown function,107.0,
gene,protein_coding,55444,55971,-,,PP_5423,528,,CDS,with_protein,AMM02750.1,conserved membrane protein of unknown function,175.0,
gene,protein_coding,56161,57627,-,,PP_0049,1467,,CDS,with_protein,AAN65683.1,conserved protein of unknown function,488.0,
gene,protein_coding,57640,58089,-,,PP_5424,450,,CDS,with_protein,AMM02751.1,conserved protein of unknown function,149.0,
gene,protein_coding,58777,59184,-,,PP_0050,408,,CDS,with_protein,AAN65684.1,conserved exported protein of unknown function,135.0,
gene,protein_coding,59316,60608,-,,PP_0051,1293,,CDS,with_protein,AAN65685.1,putative sigma-54 dependent transcriptional regulator,430.0,
gene,protein_coding,60831,61715,+,,PP_0052,885,,CDS,with_protein,AAN65686.1,"beta-lactamase domain protein, putative hydrolase",294.0,
gene,protein_coding,61756,63024,+,,PP_0053,1269,,CDS,with_protein,AAN65687.1,putative sulfide:quinone oxidoreductase,422.0,
gene,protein_coding,62982,63839,+,,PP_0054,858,,CDS,with_protein,AAN65688.1,conserved membrane protein of unknown function,285.0,
gene,protein_coding,63828,64715,-,,PP_0055,888,,CDS,with_protein,AAN65689.1,transcriptional regulator,295.0,
gene,protein_coding,64943,66595,+,betA-I,PP_0056,1653,,CDS,with_protein,AAN65690.1,choline dehydrogenase,550.0,
gene,protein_coding,66693,68312,+,,PP_0057,1620,,CDS,with_protein,AAN65691.1,major facilitator family transporter,539.0,
gene,protein_coding,68487,69272,-,,PP_0058,786,,CDS,with_protein,AAN65692.1,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,261.0,
gene,protein_coding,69319,69846,-,gmhB,PP_0059,528,,CDS,with_protein,AAN65693.1,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",175.0,
gene,protein_coding,69850,71904,-,glyS,PP_0060,2055,,CDS,with_protein,AAN65694.1,glycine-tRNA ligase beta subunit,684.0,
gene,protein_coding,71901,72848,-,glyQ,PP_0061,948,,CDS,with_protein,AAN65695.1,glycine-tRNA ligase alpha subunit,315.0,
gene,protein_coding,72932,73483,+,tag,PP_0062,552,,CDS,with_protein,AAN65696.1,3-methyl-adenine DNA glycosylase I,183.0,
gene,protein_coding,73525,74412,+,,PP_0063,888,,CDS,with_protein,AAN65697.1,putative Lipid A biosynthesis lauroyl acyltransferase,295.0,
gene,protein_coding,74510,74824,-,,PP_0064,315,,CDS,with_protein,AAN65698.1,conserved protein of unknown function,104.0,
gene,protein_coding,74836,76209,-,trkA,PP_0065,1374,,CDS,with_protein,AAN65699.1,NAD-binding component of TrK potassium transporter,457.0,
gene,protein_coding,76233,77543,-,rsmB,PP_0066,1311,,CDS,with_protein,AAN65700.1,Ribosomal RNA small subunit methyltransferase B,436.0,
gene,protein_coding,77540,78472,-,fmt,PP_0067,933,,CDS,with_protein,AAN65701.1,Methionyl-tRNA formyltransferase,310.0,
gene,protein_coding,78533,79039,-,def-I,PP_0068,507,,CDS,with_protein,AAN65702.1,peptide deformylase,168.0,
gene,protein_coding,79246,80343,+,,PP_0069,1098,,CDS,with_protein,AAN65703.1,putative Rossmann fold nucleotide-binding protein,365.0,
gene,protein_coding,80386,80943,+,tsaC,PP_0070,558,,CDS,with_protein,AAN65704.1,Threonylcarbamoyl-AMP synthase,185.0,
gene,protein_coding,81077,81277,+,,PP_5425,201,,CDS,with_protein,AMM02752.1,conserved protein of unknown function,66.0,
gene,snoRNA,81574,81663,+,,PP_mr01,90,,ncRNA,snoRNA,,C4 ncRNA,,
