# ANI ranges report for assembly: GCA_000007565.2
# Submitted organism: Pseudomonas putida KT2440 (taxid = 160488, rank = no rank, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pseudomonas putida (taxid = 303, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas)
# Status: INCONCLUSIVE
# Confidence: LOW
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	AE015451.2	CIRCULAR	1	9157	6181873	UGUX01000003.1	2053580	2062736	GCA_900455645.1	Pseudomonas putida	93.1245	96	0.148127
-	AE015451.2	CIRCULAR	9158	9541	6181873	AP013070.1	1	384	GCA_000412675.1	Pseudomonas putida	86.5633	96	0.00621171
-	AE015451.2	CIRCULAR	9542	74408	6181873	CP101910.1	1	64928	GCA_024508115.1	Pseudomonas putida	96.8261	96	1.04931
S	AE015451.2	CIRCULAR	74409	74521	6181873	BBIS01000040.1	96008	96120	GCA_000730605.1	Pseudomonas monteilii	85.8407	95.5	0.00182792
-	AE015451.2	CIRCULAR	74522	80947	6181873	CP101910.1	65119	71544	GCA_024508115.1	Pseudomonas putida	92.4537	96	0.103949
S	AE015451.2	CIRCULAR	80948	81069	6181873	BLJF01000003.1	94601	94714	GCA_009932335.1	Pseudomonas asiatica	87.7049	96	0.00197351
S	AE015451.2	CIRCULAR	81070	81403	6181873	CP114035.2	72756	73090	GCA_026898135.2	Pseudomonas fortuita	90.2077	96	0.00540289
-	AE015451.2	CIRCULAR	81404	83152	6181873	CP101910.1	71639	73388	GCA_024508115.1	Pseudomonas putida	87.6136	96	0.0282924
-	AE015451.2	CIRCULAR	83175	90386	6181873	CP101910.1	74106	81308	GCA_024508115.1	Pseudomonas putida	91.0512	96	0.116664
S	AE015451.2	CIRCULAR	90387	90607	6181873	BLJF01000003.1	85375	85595	GCA_009932335.1	Pseudomonas asiatica	90.4977	96	0.00357497
